Record #,Easting,Northing,Elev,Trend
,(m),(m),(m),(°)
312,348885,5249650,865,61
313,348889,5263145,889,37.5
314,348941,5251943,855,63
315,348951,5256366,882,100
316,349006,5248571,853,120
317,349041,5256215,882,62
318,349167,5263527,886,36.5
319,349206,5251179,852,19
320,349261,5260352,944,18
321,349272,5269896,814,156
322,349429,5260325,934,32
323,349520,5260385,932,2
324,349543,5263774,887,61
325,349835,5246144,847,34
326,349896,5264951,870,60
327,349897,5246168,852,144
328,350023,5246199,854,65.3
329,350122,5266904,814,137
330,350200,5266853,815,128
331,350282,5262159,897,30.2
332,350282,5262159,896,30
333,350426,5252612,853,79
334,350479,5248785,833,164
335,350609,5252171,853,122
336,350731,5245915,850,144
337,350834,5265233,834,108.6
338,351028,5263341,898,88.5
339,351033,5263326,900,89.5
340,351438,5241952,809,148
341,351444,5246383,848,8
342,351505,5267511,815,77
343,351545,5246814,852,14.2
344,351645,5266796,820,90
345,351848,5264874,873,120
346,351902,5266929,828,91.5
347,352048,5265290,825,63
348,352079,5266905,829,111
349,352156,5267724,828,17
350,352188,5267642,828,6
351,352477,5257599,870,74
352,352553,5262423,892,38
353,352587,5262836,875,11
354,352617,5262540,892,27
355,352626,5245880,835,167
356,352650,5257261,871,86
357,352744,5264810,832,104
358,352928,5253834,861,49
359,353153,5262215,893,38.2
360,353437,5262531,884,139
361,353442,5249791,821,56
362,353550,5250444,844,148
363,353957,5241920,806,118
364,354418,5266241,796,29
365,354552,5263733,871,59.2
366,355382,5244555,834,119
367,355405,5241007,831,69
368,355408,5264987,856,57
369,355418,5244397,830,56
370,355490,5240732,831,118
371,355490,5263005,872,112
372,355555,5244231,830,113
373,355573,5241180,828,57
374,355597,5240702,827,118
375,355638,5244410,835,108
376,355663,5265249,860,55
377,355778,5262958,872,110
378,355800,5263562,865,60
379,355853,5260175,885,61
380,355921,5263674,866,53
381,356080,5261779,864,55.9
382,356086,5255306,855,41
383,356109,5263606,866,78
384,356510,5251023,841,56
385,356565,5266891,864,20
386,356644,5251096,843,57
387,357546,5241189,825,56
388,357585,5262380,868,106
389,358071,5262372,861,126.5
390,358117,5254036,844,117
391,358325,5262237,862,132.1
392,358570,5254938,847,119
393,358854,5246916,835,134
394,358887,5268039,771,134
395,358981,5266492,790,119
396,359096,5251689,846,54
397,359177,5251833,846,55
398,359220,5262593,832,113.4
399,359509,5262436,830,125
400,359593,5247135,836,131
401,359657,5252021,845,67
402,359714,5262209,830,125.2
403,360026,5252350,836,73
404,360054,5248296,835,119
405,360125,5261647,856,154.3
406,360172,5244757,847,112
407,360197,5263475,856,114
408,360208,5264373,811,111
409,360235,5261532,861,109
410,360356,5263501,850,63
411,360648,5270228,830,25
412,360664,5266008,814,146
413,360731,5262847,855,89
414,360731,5262847,855,89.6
415,360734,5270318,825,25
416,360873,5246638,823,54
417,360915,5255195,852,116
418,360917,5255073,854,119
419,360917,5255073,854,120.5
420,361048,5266611,841,130
421,361075,5254964,847,128.2
422,361076,5266496,840,130
423,361142,5249337,839,119
424,361214,5254869,853,131
425,361247,5248295,835,66
426,361367,5254728,856,134.2
427,361446,5258427,848,135
428,361503,5254768,856,134.7
429,361552,5254675,854,135
430,361594,5248484,830,44
431,361649,5252908,830,121.82
432,361925,5246409,818,151
433,362028,5246294,818,133
434,362088,5246234,821,145
435,362099,5246111,821,159
436,362116,5260742,845,132.2
437,362156,5260698,844,147.8
438,362203,5265549,839,117
